,team_name,down,pass_plays,rush_plays,pass_pct,seconddown_epa_per_play
74,Southern Miss,2,212,240,46.9,-0.05745026917460318
75,Baylor,2,264,300,46.8,0.1019783955165563
76,Boise State,2,298,342,46.6,0.15634443226997247
77,Mississippi State,2,224,258,46.5,0.06285027661194029
78,Oregon,2,294,338,46.5,0.11975504375146198
79,UTEP,2,238,278,46.1,-0.13772037642807017
80,New Mexico,2,234,274,46.1,0.2163404965659722
81,Michigan State,2,216,256,45.8,-0.1089407168359375
82,San Diego State,2,232,276,45.7,-0.013539871656028369
83,Boston College,2,254,304,45.5,-0.0020910218026315877
84,Rutgers,2,266,320,45.4,0.09512168413836478
85,Penn State,2,286,344,45.4,0.04936086180882353
86,Nevada,2,240,294,44.9,0.015187091066666667
87,Indiana,2,246,302,44.9,0.18998012399337746
88,UConn,2,266,328,44.8,0.024548687608024696
89,Ohio State,2,250,310,44.6,0.2659385151496599
90,SMU,2,280,354,44.2,0.012401089254742549
91,Utah,2,212,272,43.8,-0.12728616065682655
92,Buffalo,2,232,300,43.6,0.08192783851957294
93,Arizona State,2,264,344,43.4,0.10353936708358209
94,East Carolina,2,250,326,43.4,0.03101725024299066
95,South Carolina,2,260,340,43.3,0.0674326575029762
96,South Florida,2,262,346,43.1,-0.14087017255976678
97,Troy,2,216,286,43.0,0.051412582819148935
98,Virginia Tech,2,208,276,43.0,-0.00519176875
99,BYU,2,232,310,42.8,0.044089892199346406
100,Central Michigan,2,196,264,42.6,-0.12417953314814814
101,Alabama,2,234,318,42.4,-0.10517242470454546
102,Tennessee,2,268,364,42.4,0.004036250716666668
103,Houston,2,188,258,42.2,-0.27610710342738587
104,Massachusetts,2,218,302,41.9,0.017936671073251198
105,Texas A&M,2,240,336,41.7,0.0823784128427673
106,Coastal Carolina,2,226,318,41.5,0.05511370322683705
107,Florida,2,208,294,41.4,0.09528280306204381
108,Texas State,2,234,338,40.9,0.08098665376948053
109,New Mexico State,2,218,316,40.8,-0.021208015321070237
110,Northern Illinois,2,240,350,40.7,0.03198097001234568
111,West Virginia,2,234,342,40.6,0.054252090059375
112,Western Michigan,2,202,296,40.6,0.11575718188518519
113,Wyoming,2,204,300,40.5,-0.14016210286643835
114,Ohio,2,240,360,40.0,0.011642574095375724
115,UCF,2,204,308,39.8,0.012577378007092188
116,Iowa,2,196,296,39.8,0.007238586687500007
117,Missouri,2,240,378,38.8,0.06809818955337078
118,Jacksonville State,2,240,384,38.5,0.1197747138150289
119,Sam Houston,2,226,362,38.4,-0.02684634474454829
120,James Madison,2,220,354,38.3,-0.022888371278481017
121,Marshall,2,202,336,37.5,0.02211140869677419
122,Vanderbilt,2,188,316,37.3,-0.06033073826950354
123,Michigan,2,198,334,37.2,0.006146635024734982
124,Kansas,2,188,320,37.0,0.057792312118705044
125,Tulane,2,212,368,36.6,0.1499936440792683
126,UNLV,2,210,374,36.0,-0.11553889159006213
127,UL Monroe,2,138,310,30.8,-0.034402985480314965
128,Liberty,2,150,350,30.0,0.1916531420607143
129,Navy,2,106,374,22.1,0.1495975565243446
130,Air Force,2,88,450,16.4,-0.10702118652702704
131,Army,2,80,472,14.5,0.153792648792517
